Stichwort,Titel,Beschreibung,Sprachausgabe
cholderi,Cholderi,"m.'aufbrausender Mensch, Choleriker'. Zu mhd. kolre 'Wut'.",
chonschtanz,Chonschtanz,"männl.Vorname Konstantin.",
choora,Choora,"n.'«Korn»; Weizen'",
choorawanna,Choorawanna,"f.'«Kornwanne»; Spreuwanne'.",
chopf,Chopf,"m. Pl. Chöpf, Dim. Chopfi 'Kopf','rundlicher Felsen'. 
 Redewendung: Wennd ds Chopfi nid wil, das ds Buuchi ättas hed '«wenn das Köpflein nicht will, dass das Bäuchlein etwas hat»', sagt man zu jemandem, der beim Essen heikel ist.",
chopfati,Chopfati,"f.'«Kopfete»; Kopfende des Betts'. Gegensatz Fuassati, vgl. auch Haupati.",
chopferbund,Chopferbund,"m. Pl. Chopferbünd'«Kopfverbund»; Kopftuch'.",
choepfisch,chöpfisch,'unzufrieden'.,
chorli,Chorli,"m.'kleiner Rodel'.",
choschtgenger,Choschtgenger,"m.'Kostgänger'. Dr Härgott hed allerlei Choschtgenger '«der Herrgott hat allerlei Kostgänger»; es gibt verschiedenste Menschen'.",
choeschtig,Chöschtig,"f.'«Kostung»; die Gesamtheit der Kosten'.",
choschtli,choschtli,"'teuer, wertvoll', auch als Verstärkung mit Adjektiven: Choschtli guat 'ausgezeichnet', choschtli rächt 'recht geschehen'; ein Nichtsnutz ist kä Choschtlaga. Mhd. kostelîch 'kostbar, teuer'.",
choetta,chötta,"(köttat)'Vieh locken, dem Vieh rufen'.",
choetti,Chötti,"f. Pl. Chöttana, Dim. Chöttali 'Kette',nur im Dim. 'Halskette'.",
choettihammer,Chöttihammer,"m.'schwerer Hammer, auch mit Eisenstiel, mit dem der mit einem Ring versehene Eisenkeil (Guntl) zum Anbinden des Viehs in den Baarma geschlagen oder herausgezogen wird'.",
chotza,chotza,(kotzat)'kotzen'.,
chraama,chraama,"(kraamat) Dim. chräämla 'einkaufen' allgemein, ursprünglich wohl eher von 'nicht unbedingt Nötiges einkaufen'. Im Dim. 'Süssigkeiten (Chräämli) einkaufen', übertragen auch 'unnütz Geld ausgeben'.",
chraeaemli,Chräämli,"n.'Süssigkeit', in verschiedenen Formen, eigentlich jedes Backwerk, teilweise auch von Bonbons. Vgl. auch Zäälta.",
chraeaeza,Chrääza,"f. Pl. gl., Dim. Chrääzi 'Rückentragkorb'.",
chraeaezaleer,Chrääzaleer,"f.'Lehre für die obere Weite und Form der Chrääza'.",
chraeaezaschraga,Chrääzaschraga,"m.'Gestell zum Abstellen der Chrääza'. Auch Chrääzastender, Chrääzastual. Vgl. auch Furabogg und Furaschraga. Zu Schraga.",
chraeaezastender,Chrääzastender,m.Chrääzaschraga.,
chraeaezastual,Chrääzastual,m.Chrääzaschraga.,
chraebl,Chräbl,"m. Pl. gl., Dim. Chräblti 'Hände, Finger'.","Dein Browser unterstützt die Sprachausgabe nicht."
chraebla,chräbla,(kräblat)'kitzeln'.,
chrabla,chrabla,"(krablat)'krabbeln'. Ar chund widr z chrabla 'es geht ihm (wirtschaftlich oder gesundheitlich) wieder besser'.",
chrang,chrang,"'krank'. Schi z chrang lachha 'sich krank lachen'.",
chranzna,chranzna,"(kranznat)Der Hochzeitskranz wird von den Nachbarinnen vor der Hochzeit oder auch anHochzeitsjubiläen gemacht und am Eingang zum (zukünftigen) Heimbefestigt.'«kranznen»; den Hochzeitskranz machen';",
chranznerna,Chranznerna,"f. Pl.'diejenigen Mädchen und Frauen, die den Hochzeitskranz machen'.Sie werden nach der Arbeit verköstigt.",
chraesma,chräsma,"(kräsmat)'mühsam, fast auf allen Vieren, am steilen Hang vorwärts kommen'.",
chratta,Chratta,"f. Pl. Chrätta, Chratta, Dim. Chratti '«Kratte»; Korb',im Dim. spez. 'Körbchen zum Beeren sammeln'. 
Kinderreim: An Chratta volla Chrotta, du bischt vam Teifl d Gotta '«eine Kratte voller Kröten, du bist vom Teufel die Patin»'.",
chratz,Chratz,"m. Pl. Chretz'Kratzer'.",
chratza,chratza,"(kratzat)'kratzen'. Vgl. auch chretza 'jemanden kratzen'.",
chratzati,Chratzati,"f.'«Kratzete»; Kaiserschmarren'. Auch Tatsch.",
chrauch,Chrauch,"m.übertragen 'Bewegung', ursprünglich 'Kehre, Wende'. Kän Chrauch mee muga '«Keine Bewegung mehr mögen»; nichts mehr tun mögen, körperlich erschöpft sein'.",
chraeucha,chräucha,(krochha)'kriechen'.,
chreeja,Chreeja,"f.'«Krähe»; Alpendohle'.",
chretza,chretza,"(kretzt)'(jemanden) kratzen'. Vgl. auch chratza.",
chretzer,Chretzer,"m.'Kette beim Hooraschlitta, die um die Kufen gewickelt wird, und so auf der Schneefahrbahn als Bremse dient'.",
chriega,chriega,"(kriegat)'Mist mittels Seilzug im Gegenzug hangaufwärts ziehen'.",
chriegerrolla,Chriegerrolla,"f.'Rolle des Seilzugs beim chriega'.",
chriegerseil,Chriegerseil,"n.'Seil des Seilzugs beim chriega'.",
chriesi,Chriesi,"n. Pl. gl.'Kirsche'. Chriesi gwinna 'Kirschen lesen'.",
chriesibira,Chriesibira,"f.'«Kirschbirne»'.Eine Birnensorte, die sich gut zum Dörren eignet.",
chriesibomm,Chriesibomm,m.'Kirschbaum'.,
chriesibraegl,Chriesibrägl,m.'Kirschenkompott'.,
chriesichratta,Chriesichratta,"f.'«Kirschenkratte»; Korb für Kirschen'.",
chriesihaagga,Chriesihaagga,"m.'langer Holzstiel mit Eisenhaken zum Gewinnen der Kirschen'.",
chriesima,Chriesima,"m.'«Kirschenmann»; übertragen für den Chriesisagg.",
chriesisagg,Chriesisagg,"m.'mit Kirschkernen gefüllter Sack'. Auch Chriesima.Er wird auf dem Kachelofen gewärmt und dann als Fusswärmer im Bett verwendet.",
chrippa,Chrippa,"f.'Futterkrippe im Pferdestall'.",
chris,Chris,n.'Tannenreisig'.,
chrischta,Chrischta,"Dim. Chrischtli männl. Vorname Christian.",
chrischtaleer,Chrischtaleer,"f.'«Christenlehre»; Unterweisung in der christlichen Religion, bisweilen an Stelle des Gottesdienstes am Sonntagnachmittag in der Kirche'.",
chrischtamuegli,chrischtamügli,"'«christenmöglich»; menschenmöglich'. Teetischt au meina, as weer nid christamügli, Ausruf des Erstaunens 'man würde schon meinen, es wäre unmöglich'.",
chrischtchindli,Chrischtchindli,"n.'«Christkindlein»'. Ds Chrischtchindli stööra '«das Christkind stören»', heisst es, wenn man Geschenke für Weihnachten einkaufen geht.",
chrisma,chrisma,(krismat)'taufen'.,
chrismesser,Chrismesser,"n.'Messer, mit welchem Tannenreisig (Chris) geschnitten wird'.",
chrisna,chrisna,"(krisnat)'Tannenreisig (Chris) sammeln'.",
chrisnaadla,Chrisnaadla,"f. Pl. gl.'Tannennadel'.",
chritz,Chritz,"koll.'Streit, Händel'.",
chroma,Chroma,"m. Pl. Chröma, Dim. Chrömali 'Verschlag im Stall für Tiere','Verschlag im Keller für die Kartoffeln',übertr. 'enger Raum'.",
chrosa,chrosa,"(krosat)'rascheln', vom Heu und vom Laub. Guats Heu muas chrosa 'gutes Heu muss rascheln', weil es dann ganz dürr ist.",
chrotta,Chrotta,"f. Pl. gl., Dim. Chrotti 'Kröte'. Chrotta hagla '«Kröten hageln»; sehr stark regnen'. Vgl. auch Chratta.",
chrottatechhli,Chrottatechhli,"n.'«Krötendächlein»; Pilz', ohne Unterscheidung der Art.",
chruag,Chruag,"m. Pl. Chrüag 'Krug'.",
chrugl,Chrugl,"m.'«Krugel»; etwas, was zusammengerollt ist, was zusammenkauert. A ma Chrugl schlaafa 'zusammengekauert schlafen'; a ma Chrugl sii, a ma Chrugl ligga 'zusammengekauert daliegen'.",
chrugla,chrugla,"(kruglat)schi chrugla 'sich krümmen'.",
chrumm,Chrumm,"m.der untere Teil des Heuschlittens, er bestand aus Baumstämmen (Ahorn), die bereits wie benötigt gebogen gewachsen waren.",
chrusla,Chrusla,"f. Pl. gl.'feine Haarlocke', im Plural 'Kraushaar'. Dazu Chrusli m. 'kraushaariger Mann'.",
chruud,Chruud,"n.'Kraut'. Chruud und Rääba '«Kraut und Rüben», durcheinander'.",
chruudhobl,Chruudhobl,m.'«Krauthobel»'.,
chruudschwaari,Chruudschwaari,"f.'Stein, mit welchem das Kraut beschwert wird'. Auch Chruudstei und Schwaarstei.",
chruudstampfer,Chruudstampfer,"m.'einer, der das Kraut stampf'. Es waren meistens die Kinder, die mit dieser Aufgabe betraut wurden.",
chruudstanda,Chruudstanda,"f.'«Krautstande»; Krautfass'. Zu Standa.",
chruudstei,Chruudstei,"m.'«Krautstein»; Stein, mit welchem das Kraut beschwert wird'. Auch Chruudschwaari und Schwaarstei.Er wog um die 20 kg.",
chruuteri,Chruuteri,"m.'Mensch, der unexakt arbeitet'. Zu Chruud.",
chrueuez,Chrüüz,"n. Pl. gl., Dim. Chrüüzli 'Kreuz'.",
chrueuezlistich,Chrüüzlistich,m.'Kreuzstich'.,
chua,Chua,"f. Pl. Chüa, Dim. Chüali, Chuali 'Kuh'.",
chuachha,Chuachha,"m. Pl. Chüachha, Dim. Chüachli 'Kuchen',im Dim. speziell das Gebäck, das am Funggasunntig (Funggachüachli) gebacken wird,'der untere Teil des Heuschlittens'.",
chueachli,Chüachli,"n. Pl. gl.Funggachüachli,übertragen 'leichtsinniges, einfaches Mädchen'.",
chueachlisunntig,Chüachlisunntig,"m.der Funggasunntig.",
chueachlitrueller,Chüachlitrüller,"m.'Wallholz'. Zu trülla.","Dein Browser unterstützt die Sprachausgabe nicht."
chueafer,Chüafer,m.'Küfer'.,
chueajer,Chüajer,"m.'Küher', der Hauptverantwortliche für die Kühe auf der Alp.",
chual,chual,"'kühl, kalt'.",
chuala,chuala,"(kualat)'kalt bzw. kälter werden'",
chuaschaella,Chuaschälla,"f.'Kuhglocke'. Zu Schälla.",
chuasiita,Chuasiita,"f.'«Kuhseite»; die Seite im Stall (rechts, meist gegen Süden gerichtet) für die Kühe.",
chuebi,Chübi,"n.'hölzernes Rückentraggefäss'. Auch Poschtchübi.",
chuebl,Chübl,"m. Pl. gl., Dim. Chübelti 'Handtragegerät', heute nur noch aus Kunststoff, früher aus Holz oder Metall. Vgl. auch Eimer und Chessl.",
chuchhi,Chuchhi,"f. Pl. Chuchhana, Dim. Chüchhali 'Küche'. Ahd. chuhhina.",
chuchhiboda,Chuchhiboda,m.'Küchenboden'.,
chuchhi-chaschta,Chuchhi-Chaschta,"m.'«Küchenkasten»; Geschirrkasten in der Küche'.",
chuchhifaenschter,Chuchhifänschter,n.'Küchenfenster'.,
chuder,Chuder,"m. Pl. Chüder, Dim. Chüderli 'schleimiger Ausstoss aus dem Mund'.","Dein Browser unterstützt die Sprachausgabe nicht."
chudera,chudera,"(kuderat)'spucken mit schleimigem Ausstoss', im Gegensatz zu spudera.",
chuderwaelsch,Chuderwälsch,"n.'«Kauderwelsch»; verworrenes, unverständliches Sprechen'.",
chuderwaeltscha,chuderwältscha,"(kuderwältschat)'Kauderwelsch produzieren; wirres (auch unverständliches) Zeug reden'.",
chudlmudl,Chudlmudl,"n.'wirres Durcheinander'.",
chuegala,chügala,"(kügalat)'«kugelen»; mit Murmeln spielen'.",
chuemi,Chümi,"m. koll.'Kümmel'.",
chumood,chumood,"'«kommod»; bequem'.",
chuendig,chündig,"'geschickt, anstellig'. Vgl. auch chunnig.",
chuenig,Chünig,"m. Pl. gl.'König'.",
chunna,chunna,(kunna)'können'.,
chunnig,chunnig,"'geschickt in handwerklicher Arbeit'. An Chunnaga 'einer, der jede Arbeit geschickt angeht'. Vgl. auch chündig.",
chupferblaetz,Chupferblätz,"m.'«Kupferbletz»; Kupferlappen'.",
chuerbsa,Chürbsa,"f. Pl. gl.'hölzernes, oben weiteres Rückentraggefäss, mit Gurten oder Riemen'.Die Chürbsa ist oben oval und fasst ca. 40-50 l, sie dient zum Tragenvon Trauben, Äpfeln, Flüssigkeiten (vor allem Jauche); bisweilen mitGradulierung und als Mass verwendet.",
chuessi,Chüssi,"n. Pl. gl.'Kissen'.",
chuessiziechli,Chüssiziechli,n.'Kissenüberzug'.,
chuetzla,chützla,"(kützlat)'kitzeln'. I chützla dich 'ich kitzle dich', as chützlat mich 'es kitzelt mich'. Vgl. auch biissa.",
da,da,"da Merza 'im (Monat) März', da Maia 'im (Monat) Mai'.",
daa,daa,"'da, hier'.",
daacht,Daacht,m.'Docht',
daahar,daahar,[dááhar]'hierher'.,
daaliroosa,Daaliroosa,"f.'«Dahlienrose», Dahlie'.",
dach,Dach,Tach,
dafantwaega,dafantwäga,"[dafántwäga]'deshalb, deswegen, aus diesem Grund'.",
daheimat,daheimat,'zuhause'.,
dajoppa,dajoppa,"[dajópa]'hier heroben'.",
dajunna,dajunna,"[dajún:a]'hier herunten'.",
daemm,dämm,'diesem'.,
daena,däna,"'drüben'. Dött däna 'dort drüben'.",
danandara,danandara,[danándara]'einander'.,
dananderanaa,dananderanaa,"[danánderanà:]'der Reihe nach, nacheinander'.",
danch,Danch,"m.'Dank'. Ma cha ma nüüd zum Danch machha 'er ist mit nichts zufrieden'.",
daengg,dängg,"'weich in der Beschaffenheit'. Nur von der Erde: schi ischt dänggi von schwerer, lehmiger Gartenerde.",
danundig,danundig,[danúndig]'letzthin'.,
daer,där,'dieser'.,
das,das,'dieses'.,
daewaeg,däwäg,"[d´äwäg]'so, auf diese Weise'.",
de,de,"'dann'. Ja nu so de '«ja nur so dann»; dann ist es jetzt halt so, wie es ist'.",
deezi,Deezi,"m.kurz für 'Deziliter'.",
dena,dena,'diesen'.,
denga,denga,"(tengt)'denken, meinen'. Auch als Füllwört deng: I ha deng au dra tengt '«ich habe, so denke ich, auch daran gedacht»'.",
dera,dera,"'solche, derartige'.",
derduer,derdür,"'dadurch, deshalb'.",
derdueraab,derdüraab,"[derd`ürá:b]'durch ... hinunter'.",
derduernider,derdürnider,"[derd`ürnídr]'durch ... abwärts'.",
derduertwilla,derdürtwilla,"[derd´ürtwìlla]'deswegen, deshalb, folglich, aus diesem Grunde'.",
derdueruuf,derdüruuf,"[derd`ürú:f]'durch ... hinauf'.",
derfuer,derfür,"[derf´ür]'dafür'. Dött chan i nüüd derfür '«dort kann ich nichts dafür»; in dieser Sache bin ich unschuldig'.",
dernaa,dernaa,"[derná:]'danach, im Anschluss daran'.",
dernaebat,dernäbat,[dern´äbat]'daneben'.,
derra,derra,"(terrd)'dörren'. Terrd Bira 'getrocknete, gedörrte Birnen'; terrd Schnitz 'gedörrte Obststücke'.",
derwaegat,derwägat,[derw´ägat]'deswegen'.,
derwiil,derwiil,"[derwí:l]'inzwischen, Weile'.",
diamaal,diamaal,"[diamá:l]'letzthin, kürzlich'.",
dieggsla,Dieggsla,f.'Deichsel'.,
diggachuebl,Diggachübl,"m.'hölzerner Kübel für die Magermilch'. Vgl. Milch.",
dimmera,dimmera,"(timmerat)'dunkel, schwach leuchtend'.",
dinga,dinga,"(tingat)'in den Dienst nehmen'.",
dinna,dinna,"'drinnen'. Dött dinna 'dort drinnen'.",
disch(i),disch(i),"'jene; die anderen'.",
discha,discha,"'jener; der andere (von zwei)'.",
dischara,dischara,'andere'.,
dischawaeg,dischawäg,'anders'.,
dischgariera,dischgariera,(dischgarierd)[dìschgaríera]'diskutieren'.,
dischput,Dischput,"m.[dìschpút]'Diskussion' allgemein, auch 'verbale Auseinandersetzung'.",
dischputiera,dischputiera,"(dischputierd)[dìschputíara]'eine kontroverse Diskussion führen'.",
ditz,ditz,"'jenes; das andere'.",
doggi,Doggi,"n.'Dämon, der sich den Schlafenden auf die Brust setzt', auch 'böses Weib, Hexe'. Auch Schrättlig.",
doggter,Doggter,"m.'Arzt, Doktor'.",
doeggterla,döggterla,"(töggterlat)'(mühselig) probieren',von Kindern: 'Arzt spielen'.",
donschtig,Donschtig,"m.Am Schmutzaga Donschtig versuchen die Knaben die Mädchen mit Russ einzuschmieren und den Hausfrauen den Suppentopf zu stehlen.'Donnerstag'. Schmutzaga Donschtig 'der Donnerstag vor dem Fasnachtsdienstag',",
doorli,Doorli,"weibl. Vorname, Kurz-/Koseform von Viktoria.",
doppa,doppa,"'oben, droben'. Oba doppa 'im oberen Stockwerk', im Gegensatz zu unna dunna 'im unteren Stockwerk'.",
dora,dora,"z dora legga 'Holz zum trocknen anstellen'. Hescht z dora aggleid? 'hast du das Holz zum Einheizen bereitgestellt?'.",
draad,Draad,"m. koll.'Draht'.",
draechha,drächha,"(trächhat)ds Füür drächha 'die glühende Kohle mit Asche bedecken, damit sie (über Nacht) heiss bleibt'.",
draegg,Drägg,"m.'Schmutz'. Ättas Dräggsch '«etwas Dreckiges»', abschätzige Bermerkung über eine Sache oder ein Tun. Mhd. drëc. Vgl. auch miträgg.",
draeggflaatscha,Dräggflaatscha,"f.verstärktes Flaatscha.",
draeggholder,Dräggholder,"m.'Wacholder (Juniperus L.)'.",
draeggholderchris,Dräggholderchris,"n.'Wacholderreisig'. Zu Chris.Daraus wurde Tee gemacht.",
draeggig,dräggig,"'schmutzig'. Jemandem dräggig reda 'jemanden mit Worten provozieren'. Vgl dazu auch pässla.",
draeggla,dräggla,"(trägglat)'«dreckeln»; spielen mit Erde; sich schmutzig machen'.",
dreichuenig,Dreichünig,"m.'Dreikönigstag; 6. Januar'. A Dreichünig 'am Dreikönigstag'bis Dreichünig gelten die guten Wünsche zum neuen Jahr; bis Dreichünigbleibt der geschmückte Christbaum heute gewöhnlich in der Stube (früherwar es der 2. Februar, Maria Lichtmess).",
dri,dri,'darin'.,
driissg,driissg,"die Zahl 30.",
driizaeha,driizäha,"die Zahl 13.",
dririchta,dririchta,"(driggricht)'hineinrichten', etwa den Lauf des Wassers in eine Richtung leiten.",
dritteltachh,Dritteltachh,"n.'Schindeldach, bei dem sich je drei Schindeln überdecken'.Eine Schindel war etwa 45 cm lang, wobei beim Schindeln immer nach 11 cm eine neue Schindel angebracht wurde.",
drufaab,drufaab,[drufá:b]'daraufhin'.,
drum,drum,"'darum, deshalb'.",
drueue,drüü,"die Zahl 3, 'drei Uhr'.",
druuf,druuf,"'darauf'. Wär ischt druuf? 'wer hat (das Gasthaus) gepachtet?'.",
druus,druus,"'daraus, heraus'. Chuscht druus '«kommst du draus?»; verstehst Du das?'.",
dua,dua,"'dann, danach'.",
duazmaal,duazmaal,"[dúazma:l]'dereinst, dazumal'.",
dudalig,dudalig,"'gedemütigt, gezähmt'.",
dudla,dudla,(tudlat)'musizieren'.,
dunna,dunna,"'unten'. Unna dunna 'im unteren Stockwerk'.",
duer_1,dür,'dürr'.,
duerband,Dürband,n.'Durchschnitt'.,
duermaesser,Dürmässer,m.'Durchmesser'.,
duertriba,dürtriba,"'«durchtrieben»; schlau, erfahren, gewitzt'; im negativen, wie auch im positiven Sinn. Vgl. auch psässa.",
duerzoga,dürzoga,"'«durchzogen»', vom Fleisch, wenn es auch Sehnen und Speck hat, übertr. auch für Angelegenheiten, die nicht ganz klar sind.",
duussa,duussa,"'draussen'. Auch vorduussa.",
eeber,eeber,"'schneefrei'. Mhd. æber. Dazu Eebari f. 'schneefreies Gebiet'.",
eelendig,eelendig,"'elend',auch als Verstärkung: mir ischt eelendig schlächt '«mir ist elend schlecht»; mir ist speiübel'.",
eender,eender,"'lieber, eher, vorher, früher'.",
eenscht,eenscht,"'ehest'. Am eenschta 'am ehesten'.",
eerscht,eerscht,"'erster'. Dr Eerschta 'der Erste', di Eerschta 'die Erste', das Eerschta 'das Erste'; di eerscht Aabteilig 'die 1. Primarschulklasse', das Eerschta lüüta 'das Läuten der Kirchenglocken eine halbe Stunde vor dem Zämalüüta,zeitlich 'erst, vor Kurzem'. Etz hed r gad eerscht as neus Auto kauft 'jetzt hat er gerade erst ein neues Auto gekauft'.",
eerschtmaelchi,Eerschtmälchi,"f.'«Erstmelk(kuh)», Kuh, die erst ein Kalb zur Welt gebracht hat'.",
egga,Egga,"f. Pl. gl.'langgezogene Anhöhe, Hügelrücken'. Ahd. ekka, mhd. egge.",
eggig,eggig,"'«eckig»; mit (vielen) Ecken, nicht gerade'",
eggs,eggs,"uber eggs cho 'in Streit geraten'.",
eichoeoerali,Eichöörali,"n.'Eichhörnchen'. Vgl. Hoora.",
eiga,eiga,"'nahe verwandt','mit Eigenheiten behaftet; komisch', von Menschen. 
Zu 1. auch as Eigas 'eine Person aus der nächsten Verwandtschaft'.",
eiha,Eiha,"f.'Stiel-Eiche (Quercus Robur L.)'.",
eim,eim,'jemandem'.,
eimer,Eimer,"m. Pl. gl.'hölzernes Handtraggerät'. Im Gegensatz zu Chessl 'eisernes Handtraggerät'.",
eina_1,eina,'einer'.,
"einermeelig,",einermeelig,"auch eimeelig. Einermeelig ist Milch, die nur aus Abendmilch oder Morgenmilch besteht, im Gegensatz zu zweiermeeliger Milch, bei der Abendmilch und Morgenmilch gemischt werden; einermeelige Milch ist in der Sennerei beliebter. Vgl. auch Meeli.",
eini,eini,'eine'.,
einig,einig,"'versöhnt, lieb'. Siid widr einig midanand 'versöhnt euch wieder'. Vgl. auch das folgende eis.",
eis_1,eis,"'versöhnt, einig'. Jetz sind sch widr eis 'jetzt sind sie wieder versöhnt'. Auch >>>einig.",
eischichtig,eischichtig,"'«einschichtig»; einsam', aber aus freiem Willen. Ein eischichtaga Choga ist ein 'Sonderling, der lieber allein als unter Leuten ist'.",
eissa,Eissa,"f.'Eiterbeule, Abszess, Furunkel'. Mhd. eiz.",
elektrischa,Elektrischa,"n. koll.'die Gesamtheit der elektrischen Installationen eines Gebäudes'.",
emund,Emund,"männl. Vorname Edmund.",
end_1,End,"n.'Ende'. Zum End bätta 'die Sterbegebete beten'. Am End chonn sch de gliich no '«am Ende kommen sie dann trotzdem noch»', in der Bedeutung 'vielleicht'.",
engg,engg,'eng'.,
enggi,Enggi,"f.'«Enge»; Ort, wo es eng wird'.",
engschtli,engschtli,'ängstlich'.,
eni,Eni,m.'Grossvater'.,
entasi,Entasi,"n. Pl. gl.'Hausschuh, Pantoffel', aus Filz. Vgl. auch Tasi und Gummitasi.",
"entli,",entli,"auch entlig 'endlich'.",
enzioo,Enzioo,m.'Enzian'.,
enzioowuerza,Enzioowürza,"f.'Wurzel des Enzians'.",
erb,Erb,"n. Pl. gl.'Erbschaft'. Das falld z Erb '«das fällt zu Erbe»; das wird vererbt'. Mhd. erbe n.",
ergara,ergara,(gergarat)'ärgern'.,
erla,Erla,"f.'Erle (Alnus Miller)'.",
erligga,erligga,"(erligt)'merken, darauf kommen, lernen'. Jetz hed r s erliggt 'jetzt ist er (auch schon) darauf gekommen'.",
eschpa,Eschpa,"f.'Espe, Zitter-Pappel (Populus tremula L.)'.",
eschpalaub,Eschpalaub,"n.'Espenlaub'. Zittara wia Eschpalaub 'zittern wie Espenlaub' (aus Angst, oder wenn man friert).",
essigmuater,Essigmuater,f.'Essigmutter'.,
etlig,etlig,"'etlich'. Etligs Maal 'oftmals'.",
etza,etza,(getzt)'abweiden'.,
eu,eu,"'euch'. eua 'euer'. eui 'eure'. eus 'euer'.",
faa,faa,(gfanga)'fangen'.,
faana,Faana,"f. Pl. gl. Dim. Faani 'Fahne',abschätzig für 'billige Kleidung',übertragen 'Alkoholgeruch aus dem Mund'. Mhd. vane.",
faeaera,fäära,"'«fern», im vergangenen Jahr'.",
faara_1,Faara,"m.'Echter Wurmfarn (Dryopteris Adanson Filis-mas)'. Auch Faarachruud.Die Pflanze wurde gegen Fussschweiss in die Schuhe gelegt, ins Bettwurde sie gegen Rheumatismus gelegt (in as Faarabett iligga '«in einFarnbett [hin]ein liegen»'). Mhd. var(e)n.",
faarachruud,Faarachruud,"n. '«Farnkraut». Auch >>>Faara.",
faarb,Faarb,"f. Pl. Faarba, Dim. Faarbi 'Farbe','Malstift'.",
faeaerig,fäärig,'letztjährig'.,
faarig,faarig,"'nervös, rastlos'. Warum bischt aso faarig hüüt? 'warum bist Du so nervös heute?'.",
faeaerla,fäärla,"(gfäärlat)'mit bzw. in der Erde spielen (wie ein Fäärli)',von einem Fäärli: 'ein Ferkel gebären'.",
faeaerli,Fäärli,"n.'Hausschwein' ohne Rücksicht auf das Alter. Vgl. auch Hutschla, Hutschi und Sau. Mhd. verlîn.",
faeaerlihuetti,Fäärlihütti,"n.'«Färlehüttlein»; Anbau am Haus, in welchem die die Schweine gehalten werden'.",
faeaerlistall,Fäärlistall,"m.'«Färlestall», Schweinestall, bzw. Abteil für die Schweine im Stall'.",
faeaerschi,Fäärschi,"n. Pl. gl., oft auch nur im Dim. Fäärschali'Ferse'.",
fada,Fada,"m. Pl. Fäda, Dim. Fadi 'Faden' Z Fada schlaa '«zu Faden schlagen»; vorbereiten, planen; ungefähr berechnen'. Naadla und Fada '«Nadel und Faden», Nähzeug'.",
faedera,Fädera,"f. Pl. gl.'Feder','flaches Holzstäbchen, das zur Verbindung zweier Bretter in die Nuten eingefügt wird' (ein Boden mit gfäderata Blangga).",
fael,Fäl,"n. Pl. gl.'Fell'.",
falausch,Falausch,"n. auch im Pl. Faläusscher [faláusch]'Valorschtal'.",
falbala,Falbala,"f.'Faltensaum unten am Frauenrock'. Schöös (Schoos) mid Falbala. Frz. falbala.",
faelchli,Fälchli,"'Feldkirch'. Ga Fälchli aab 'nach Feldkirch hinunter'.",
falga,falga,"(gfalgat)'im Kartoffelacker den Boden lockern und von Unkraut befreien'. Mhd. falgen.",
faeliisa,Fäliisa,"n. Pl. gl.[f´älì:sa]'Werkzeugkoffer'. Frz. valise 'Koffer'.Das Wort wurde, wie viele andere Wörter, von den in der ersten Hälftedes 20. Jahrhunderts in der Westschweiz arbeitenden TriesenbergerGipsern mitgebracht; so etwa auch tuschuur, Ferchanz.",
falla_1,Falla,"f. Pl. gl., Dim. Falli Fangvorrichtung für die Tierjagd (vgl. Muusfalla),kurz für die 'Türfalle'. Mhd. valle.",
falops,Falops,"n. koll. [fálòps]'Fallobst'. Vgl. auch Ops und Moschtops.",
falott,Falott,"m.'hinterhältiger Mensch, Nichtsnutz'. Frz. falot.",
falsch,falsch,"'falsch','hinterhältig'. 

D Schtraass ischt fälsschi sagt man, um vor dem Ausrutschen zu warnen, wenn es im Winter gefroren sein könnte.",
faenschter,Fänschter,"n. Pl. gl.'Fenster'. Mhd. vënster.",
faenschterfuater,Fänschterfuater,"n.'«Fensterfutter»; Fenster-, Blendrahmen'.",
faenschtergiiga,fänschtergiiga,"(fänschterggiigat)'ein Fänschtergiigi benutzen'.",
faenschtergiigi,Fänschtergiigi,"n.Faden an einem Reissnagel; der Reissnagel wird aussen in den Fensterrahmen gestossen und durch Reiben das Fadens entsteht im Innern ein quietschendes Geräusch.",
fantwaega,fantwäga,"'infolgedessen'. Auch derdürtwilla.",
faerch,Färch,"m.'Inneres des Holzstocks'. An Färchana sagt man vom Baumstamm mit viel Färch, oder der Baum hat wagger Färch; je breiter der Färch ist, umso härter ist das Holz.",
faerdi,Färdi,"m., männl. Vorname,Kurzform von Ferdinand, zu Färdi die Koseform Färdali.",
fas,Fas,"n. Pl. Fässer, Dim. Fäsli, Fässli, Fassi 'Fass', besonders das Mostfass (Moschtfäsli).",
fasbett,Fasbett,"n.'der kleine Platz vor der Heubarge, auf dem das Heuburdi gemacht wird'. Das Fasbett hatte seine Bedeutung vor allem im Winter, wenn rund um den Stall Schnee lag, und man einen bestimmten Platz für das Fassen des Heuburdis schneefrei hielt.",
faeschpara,fäschpara,"(gfäschparat)'umherreden' von Frauen, älter für läschba. Ättäs zämafäschpara '«etwas zusammenvespern»; viel reden'.","Dein Browser unterstützt die Sprachausgabe nicht."
fasi,Fasi,"m., männl. Vorname,Kurzform von Gervasius",
fasl,Fasl,"m.'(grössere) Anzahl Ziegen oder Schafe'. Übertr. auch von einer Menschenansammlung. Mhd. vasel.",
